INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('RR', 'Roraima')', 'Moura do Galho', '27873-401', 'Céu Azul', 'Trevo Cavalcanti', '856', null, 1);
INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('RJ', 'Rio de Janeiro')', 'Martins de Moraes', '34932750', 'Lindéia', 'Feira Ferreira', '493', null, 21);
INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('GO', 'Goiás')', 'Teixeira', '20401154', 'Vila Nova Cachoeirinha 1ª Seção', 'Sítio Nunes', '463', null, 22);
INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('AL', 'Alagoas')', 'Nogueira', '07231805', 'Solar Do Barreiro', 'Recanto de Lima', '814', null, 23);
INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('CE', 'Ceará')', 'Campos do Sul', '90294237', 'Dom Joaquim', 'Área de Nogueira', '336', null, 24);
INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('GO', 'Goiás')', 'Rocha de Gonçalves', '34654319', 'Lagoinha', 'Praia de Ramos', '995', null, 25);
INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('SE', 'Sergipe')', 'Correia das Flores', '38368041', 'Boa União 2ª Seção', 'Viela de Correia', '875', null, 26);
INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('PB', 'Paraíba')', 'Alves de Rocha', '55628-120', 'Vila Maloca', 'Chácara Mendes', '964', null, 27);
INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('ES', 'Espírito Santo')', 'Rezende da Praia', '78816417', 'Guaratã', 'Estação de Porto', '863', null, 28);
INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('MT', 'Mato Grosso')', 'Teixeira da Serra', '28640-533', 'Jardim Felicidade', 'Área de Azevedo', '573', null, 29);
INSERT INTO tb_endereco (estado, cidade, cep, bairro, logradouro, numero, complemento, fk_sessao) VALUES ('('MG', 'Minas Gerais')', 'da Cruz de Minas', '20398920', 'Chácara Leonina', 'Área Davi Lucas Lopes', '748', null, 30);
